2020-07-09 06:48:35.436+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false 
2020-07-09 06:48:35.452+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null 
2020-07-09 06:48:35.452+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false 
2020-07-09 06:48:35.452+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false 
2020-07-09 06:48:35.452+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true 
2020-07-09 06:48:35.452+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true 
2020-07-09 06:48:35.452+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server 
2020-07-09 06:48:35.592+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200 
2020-07-09 06:48:35.592+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30 
2020-07-09 06:48:35.592+0200 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4 
2020-07-09 06:48:35.608+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1594270115608 with initial instances count: 4 
2020-07-09 06:48:35.608+0200 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application ADS with eureka with status UP 
2020-07-09 06:48:35.608+0200 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1594270115608, current=UP, previous=STARTING] 
2020-07-09 06:48:35.608+0200 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ADS/Sima:ads:8098: registering service... 
2020-07-09 06:48:35.608+0200 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8098"] 
2020-07-09 06:48:35.639+0200 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8098 (http) with context path '' 
2020-07-09 06:48:35.639+0200 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8098 
2020-07-09 06:48:35.655+0200 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ADS/Sima:ads:8098 - registration status: 204 
2020-07-09 06:48:35.905+0200 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories… 
2020-07-09 06:48:35.905+0200 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized! 
2020-07-09 06:48:35.926+0200 [main] INFO  com.microservices.ads.AdsApplication - Started AdsApplication in 10.727 seconds (JVM running for 11.617) 
